,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
10,3,3,2,3,3,2,4,3,3,5,4,3,4,1,2,3.0,5.0,4.0,4.0,5.0,2.0,5.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0
11,3,1,5,3,5,1,5,5,5,3,5,1,3,1,5,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,5.0,5.0
12,4,1,5,4,5,1,4,1,5,2,1,5,1,2,1,1.0,5.0,4.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0
13,1,5,1,5,1,5,1,5,1,5,5,1,5,1,4,5.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,2.0,5.0,3.0,4.0,1.0,5.0,3.0,4.0,3.0,5.0,1.0,4.0,1.0,2.0,2.0,4.0,5.0,5.0,3.0
14,1,5,2,5,1,4,1,2,2,5,4,3,5,1,4,4.0,4.0,2.0,4.0,5.0,2.0,5.0,4.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,5.0
15,2,1,3,4,4,3,5,3,3,5,4,2,3,3,3,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,3.0,4.0,1.0,3.0,3.0,5.0,5.0
16,1,4,2,4,2,3,2,4,2,4,4,3,4,2,4,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0
17,4,1,5,2,4,2,3,2,4,2,1,4,3,5,3,2.0,3.0,2.0,2.0,1.0,4.0,5.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0
18,4,2,5,3,4,4,5,2,5,2,2,5,4,4,3,4.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,0.0,3.0,5.0,3.0,1.0,5.0,3.0,2.0,1.0,2.0,4.0,1.0,5.0,1.0,3.0,5.0,4.0,2.0,5.0,3.0
19,5,1,5,2,5,1,5,3,5,4,4,1,4,2,4,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,2.0,3.0
20,3,3,2,3,4,3,1,5,1,2,5,1,5,1,3,3.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
21,3,2,2,4,4,4,5,3,1,3,3,3,4,4,3,3.0,5.0,4.0,3.0,4.0,1.0,5.0,1.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0
22,1,4,3,4,2,3,2,5,2,5,3,4,4,3,2,3.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,5.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,5.0,3.0
23,3,4,4,3,3,4,2,2,0,5,5,4,5,1,4,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,4.0,4.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,4.0
24,1,5,1,4,1,5,1,5,1,5,5,1,5,1,4,5.0,3.0,2.0,5.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,2.0
25,2,2,3,5,5,3,5,5,4,5,4,4,5,2,2,4.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,5.0,3.0
26,4,1,5,3,5,1,5,5,5,1,5,2,3,2,3,1.0,3.0,1.0,4.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,5.0,5.0,4.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,4.0
27,1,3,1,5,1,4,1,5,1,5,3,2,4,5,3,2.0,1.0,1.0,3.0,1.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,4.0,5.0
28,2,2,3,5,3,3,1,4,1,3,5,3,5,1,1,5.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0
29,2,4,4,2,3,3,3,3,3,3,5,3,5,2,5,5.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,5.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,5.0,1.0,5.0,2.0,4.0,3.0,5.0,2.0,5.0,2.0,4.0,1.0,3.0,4.0,5.0,3.0
30,2,4,5,4,4,1,5,4,4,3,3,4,5,5,2,2.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,2.0,4.0,1.0,5.0,5.0,4.0,4.0,1.0,4.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0
31,2,4,2,4,3,4,2,5,2,4,5,3,5,2,4,4.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,5.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0
32,3,2,4,2,2,3,3,2,4,4,1,5,1,5,3,1.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,4.0,5.0
33,3,4,3,2,5,4,2,4,4,4,5,2,4,2,5,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,1.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,4.0
34,2,2,0,2,5,1,2,3,3,4,4,3,4,3,2,4.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0
35,1,4,4,5,4,3,3,5,1,3,5,3,5,2,2,5.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,2.0,1.0,4.0,5.0,5.0,3.0
36,5,1,4,1,5,2,5,2,5,3,4,2,5,3,4,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,3.0,5.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0
37,3,2,3,4,2,2,3,4,3,4,3,4,3,5,4,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0
38,2,3,3,4,2,4,1,3,3,4,4,5,3,3,3,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0
39,5,1,5,2,5,1,5,2,4,2,2,4,3,3,4,2.0,2.0,2.0,2.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,2.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,5.0,5.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0,4.0,4.0
40,2,3,3,4,3,3,1,4,2,3,5,2,5,3,4,3.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0
41,3,4,3,4,4,2,2,2,4,4,1,2,4,2,4,4.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0
42,3,3,5,2,5,1,4,2,5,1,2,5,2,5,2,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,4.0
43,2,1,4,1,5,2,2,5,1,3,4,0,5,2,4,4.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,4.0,3.0
44,2,4,5,3,5,1,3,5,5,5,1,4,5,5,1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,5.0,1.0,5.0,5.0
45,3,1,4,3,4,2,3,2,4,5,4,3,4,4,4,4.0,4.0,5.0,5.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,2.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,1.0,5.0,2.0,5.0,3.0
46,4,2,4,2,3,0,2,2,4,3,4,2,4,4,4,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,4.0,2.0,5.0
47,3,3,4,3,4,0,4,3,2,3,2,4,4,2,3,3.0,4.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,5.0,3.0,4.0,3.0
48,2,4,4,2,3,2,2,4,1,5,2,4,4,2,2,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,4.0,3.0,5.0,4.0
49,3,5,4,3,3,4,2,2,2,4,1,2,3,2,2,2.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0
50,4,1,5,1,5,2,5,1,5,1,3,3,4,3,4,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,3.0,5.0,4.0
51,1,2,3,4,3,3,2,5,1,5,3,2,4,1,2,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0
52,1,4,1,3,2,3,2,3,4,4,5,2,5,2,3,3.0,0.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,2.0,5.0,4.0,1.0,3.0,4.0,4.0,2.0,3.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0
53,1,4,5,4,4,1,2,1,1,2,2,3,4,2,2,2.0,4.0,4.0,2.0,3.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0
54,2,4,4,4,4,2,2,4,4,4,2,2,4,2,2,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0
55,5,1,5,2,4,1,4,3,4,2,2,4,4,4,3,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,4.0,4.0
56,2,4,3,5,2,4,3,3,4,5,4,3,5,4,4,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,5.0,2.0,5.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0
57,3,2,5,1,3,2,5,3,2,4,4,4,2,1,2,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0
58,4,5,4,4,4,1,2,2,0,3,5,2,4,4,3,2.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,5.0,0.0,4.0,1.0,4.0,3.0,5.0,4.0,1.0,3.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0,1.0,4.0,5.0,2.0,5.0
59,3,3,4,3,2,2,3,5,4,5,2,4,5,2,4,2.0,5.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0
60,2,1,3,3,5,2,4,5,5,3,5,1,5,1,5,5.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,2.0,4.0,2.0,4.0,3.0
61,5,1,5,1,5,1,5,3,3,3,4,3,3,1,3,4.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0
62,5,1,3,1,5,1,5,1,5,1,3,3,3,5,3,3.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,0.0,3.0,3.0,5.0
63,4,1,4,2,5,1,4,2,5,2,3,4,4,2,4,4.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0
64,1,4,3,5,2,5,3,4,4,3,3,3,4,2,2,3.0,5.0,4.0,3.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,5.0,3.0,3.0,2.0,5.0,1.0,4.0,4.0
65,3,3,2,2,4,2,3,3,4,3,2,4,3,2,3,2.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,5.0,4.0,4.0,4.0
66,2,3,2,4,2,2,2,3,3,4,4,2,2,1,4,4.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,1.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0
67,4,3,4,2,2,4,4,2,4,4,4,4,2,2,2,2.0,4.0,4.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,5.0,1.0,5.0,1.0,4.0,1.0,4.0,4.0,5.0,5.0
68,3,5,3,4,2,5,2,4,5,5,4,3,3,4,2,5.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,3.0,5.0,5.0
69,1,5,2,4,2,4,1,2,4,5,4,2,4,1,3,4.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,4.0,4.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,5.0,5.0
70,3,4,5,3,5,2,4,4,5,3,5,3,5,3,3,1.0,3.0,3.0,1.0,5.0,2.0,5.0,3.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,5.0
71,3,4,1,4,3,2,2,4,3,5,5,3,4,3,5,1.0,3.0,2.0,5.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,2.0,5.0,4.0,3.0,1.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,2.0
72,1,5,1,5,1,5,1,5,1,1,3,1,5,3,1,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,5.0
73,2,3,3,3,3,3,4,3,3,4,4,2,5,2,4,4.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0
74,2,2,3,3,5,2,2,5,2,3,4,2,4,2,2,3.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,4.0,1.0,4.0,5.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,4.0,4.0
75,1,4,2,5,3,1,1,5,3,5,2,5,5,5,3,5.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,5.0,2.0,5.0,4.0
76,4,2,5,2,5,1,4,2,4,2,1,5,2,4,1,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,4.0
77,1,5,3,4,3,5,2,4,2,3,4,3,4,4,4,4.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,5.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0
